ALLSCEN3,ITEM,OUTPUT
Reference 2020,BVMEAT,111820.25168455008
Reference 2020,CEPHF,2446.3594721475
Reference 2020,CEPHW,1317.2704850025
Reference 2020,CRSTF,2127.6785513249997
Reference 2020,CRSTW,4964.583286425
Reference 2020,DMRSF,6905.27987895
Reference 2020,DMRSW,6905.27987895
Reference 2020,FRSHF,30412.2110374
Reference 2020,FRSHW,30412.2110374
Reference 2020,MARNF,9905.313543475
Reference 2020,MARNW,9905.313543475
Reference 2020,MLSCF,3902.3361709799997
Reference 2020,MLSCW,9105.451065619998
Reference 2020,PELGF,13361.364666575
Reference 2020,PELGW,13361.364666575
Reference 2020,PGMEAT,197125.49634175943
Reference 2020,PTMEAT,160620.15745760553
Reference 2020,SALMF,2303.4409442259316
Reference 2020,SALMW,2303.4409442259316
Reference 2020,SGMEAT,21541.7867719344
Reference 2020,SHRIF,5896.03187838
Reference 2020,SHRIW,3930.6879189200004
Reference 2020,TUNAF,3906.7031534669
Reference 2020,TUNAW,3906.7031534669
BAU,BVMEAT,151650.8824143979
BAU,CEPHF,2446.048088020663
BAU,CEPHW,1317.1028166265105
BAU,CRSTF,2332.1096771645034
BAU,CRSTW,5441.589246717175
BAU,DMRSF,6959.90020248321
BAU,DMRSW,6959.90020248321
BAU,FRSHF,42800.867195623396
BAU,FRSHW,42800.867195623396
BAU,MARNF,9971.566886105424
BAU,MARNW,9971.566886105424
BAU,MLSCF,3895.0687088021755
BAU,MLSCW,9088.493653871743
BAU,PELGF,13375.165740272196
BAU,PELGW,13375.165740272196
BAU,PGMEAT,235554.31152129653
BAU,PTMEAT,262979.0556361211
BAU,SALMF,2640.3898798803602
BAU,SALMW,2640.3898798803602
BAU,SGMEAT,35295.19314675158
BAU,SHRIF,7553.8448779164855
BAU,SHRIW,5035.896585277657
BAU,TUNAF,3987.0166714610727
BAU,TUNAW,3987.0166714610727
Barriers to Blue Growth,BVMEAT,159414.95466989835
Barriers to Blue Growth,CEPHF,2201.8201029340025
Barriers to Blue Growth,CEPHW,1185.595440041386
Barriers to Blue Growth,CRSTF,2147.83286987496
Barriers to Blue Growth,CRSTW,5011.61002970824
Barriers to Blue Growth,DMRSF,6265.822240407756
Barriers to Blue Growth,DMRSW,6265.822240407756
Barriers to Blue Growth,FRSHF,39268.10002047416
Barriers to Blue Growth,FRSHW,39268.10002047416
Barriers to Blue Growth,MARNF,9368.346850167725
Barriers to Blue Growth,MARNW,9368.346850167725
Barriers to Blue Growth,MLSCF,3506.152748473487
Barriers to Blue Growth,MLSCW,8181.0230797714685
Barriers to Blue Growth,PELGF,12040.236876737568
Barriers to Blue Growth,PELGW,12040.236876737568
Barriers to Blue Growth,PGMEAT,242559.7729621441
Barriers to Blue Growth,PTMEAT,274082.205594635
Barriers to Blue Growth,SALMF,2376.696534872447
Barriers to Blue Growth,SALMW,2376.696534872447
Barriers to Blue Growth,SGMEAT,43015.4592787646
Barriers to Blue Growth,SHRIF,6863.579097440513
Barriers to Blue Growth,SHRIW,4575.719398293676
Barriers to Blue Growth,TUNAF,3588.79933568204
Barriers to Blue Growth,TUNAW,3588.79933568204
Blue Transformation,BVMEAT,142941.5979689604
Blue Transformation,CEPHF,2692.159613857323
Blue Transformation,CEPHW,1449.6244074616354
Blue Transformation,CRSTF,2743.869545039578
Blue Transformation,CRSTW,6402.362271759015
Blue Transformation,DMRSF,7646.3920555
Blue Transformation,DMRSW,7646.3920555
Blue Transformation,FRSHF,43151.85142945
Blue Transformation,FRSHW,43151.85142945
Blue Transformation,MARNF,10761.353996418065
Blue Transformation,MARNW,10761.353996418065
Blue Transformation,MLSCF,4351.507711985454
Blue Transformation,MLSCW,10153.517994632724
Blue Transformation,PELGF,14717.70738400116
Blue Transformation,PELGW,14717.70738400116
Blue Transformation,PGMEAT,228377.74758801676
Blue Transformation,PTMEAT,249537.4060675929
Blue Transformation,SALMF,2903.9721357215144
Blue Transformation,SALMW,2903.9721357215144
Blue Transformation,SGMEAT,27731.710999472965
Blue Transformation,SHRIF,8131.34236896
Blue Transformation,SHRIW,5420.894912640001
Blue Transformation,TUNAF,4362.2528958
Blue Transformation,TUNAW,4362.2528958
