PUBSCEN,YEAR,TYPE,output,Source
BAU,2000,CATCH,90791.330462,This Study
BAU,2000,CULTURE,29252.88559085,This Study
BAU,2010,CATCH,85309.467517,This Study
BAU,2010,CULTURE,51069.56467484904,This Study
BAU,2020,CATCH,90176.628737,This Study
BAU,2020,CULTURE,78681.55929409999,This Study
BAU,2030,CATCH,90176.628737,This Study
BAU,2030,CULTURE,91964.91941516835,This Study
BAU,2040,CATCH,90176.628737,This Study
BAU,2040,CULTURE,101135.10892826077,This Study
BAU,2050,CATCH,90176.628737,This Study
BAU,2050,CULTURE,108455.0362324903,This Study
Barriers to Blue Growth,2000,CATCH,90791.330462,This Study
Barriers to Blue Growth,2000,CULTURE,29252.88559085,This Study
Barriers to Blue Growth,2010,CATCH,85309.467517,This Study
Barriers to Blue Growth,2010,CULTURE,51069.56467484904,This Study
Barriers to Blue Growth,2020,CATCH,90176.628737,This Study
Barriers to Blue Growth,2020,CULTURE,78681.55929409999,This Study
Barriers to Blue Growth,2030,CATCH,87170.74111243333,This Study
Barriers to Blue Growth,2030,CULTURE,89889.82119257681,This Study
Barriers to Blue Growth,2040,CATCH,84164.85348786667,This Study
Barriers to Blue Growth,2040,CULTURE,95803.2386157619,This Study
Barriers to Blue Growth,2050,CATCH,81158.9658633,This Study
Barriers to Blue Growth,2050,CULTURE,100126.00943130134,This Study
Blue Transformation,2000,CATCH,90791.330462,This Study
Blue Transformation,2000,CULTURE,29252.88559085,This Study
Blue Transformation,2010,CATCH,85309.467517,This Study
Blue Transformation,2010,CULTURE,51069.56467484904,This Study
Blue Transformation,2020,CATCH,90176.628737,This Study
Blue Transformation,2020,CULTURE,78681.55929409999,This Study
Blue Transformation,2030,CATCH,93182.51636156668,This Study
Blue Transformation,2030,CULTURE,90906.38614701608,This Study
Blue Transformation,2040,CATCH,96188.40398613333,This Study
Blue Transformation,2040,CULTURE,103224.86606234658,This Study
Blue Transformation,2050,CATCH,99194.2916107,This Study
Blue Transformation,2050,CULTURE,114599.66478981538,This Study
FAO,1950,CULTURE,603.821,FAO
FAO,1950,CATCH,18710.201,FAO
FAO,1960,CULTURE,1655.3210000000001,FAO
FAO,1960,CATCH,33915.708,FAO
FAO,1970,CULTURE,2566.942,FAO
FAO,1970,CATCH,62806.934,FAO
FAO,1980,CULTURE,4706.011,FAO
FAO,1980,CATCH,67185.175,FAO
FAO,1990,CULTURE,13085.0375,FAO
FAO,1990,CATCH,84658.529,FAO
FAO,2000,CULTURE,32419.168149999998,FAO
FAO,2000,CATCH,93561.27736000001,FAO
FAO,2010,CULTURE,57758.285571,FAO
FAO,2010,CATCH,87223.116656,FAO
FAO,2020,CULTURE,87651.695049,FAO
FAO,2020,CATCH,89544.288182,FAO
