REGION,ALLSCEN3,OUTPUT
ARGENTINAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,938.8858593985893
ARGENTINAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,768.4395876976063
ARGENTINAREG,SCEN_DIET0_CULTURE0_CAPTURE0,853.7751147013721
AUSTRALIAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,323.4464189440108
AUSTRALIAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,274.13324008941686
AUSTRALIAREG,SCEN_DIET0_CULTURE0_CAPTURE0,302.3791143155986
BRAZILREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,1695.1639069845198
BRAZILREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,1476.9212016741144
BRAZILREG,SCEN_DIET0_CULTURE0_CAPTURE0,1622.0847103518038
CANADAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,1076.5547467132203
CANADAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,881.9859407542369
CANADAREG,SCEN_DIET0_CULTURE0_CAPTURE0,979.8914794047146
CHINAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,75021.21468994986
CHINAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,65269.18799782959
CHINAREG,SCEN_DIET0_CULTURE0_CAPTURE0,70934.80153758773
CONGOBASIN,SCEN_DIET+10_CULTURE+50_CAPTURE+10,756.8559462416963
CONGOBASIN,SCEN_DIET-10_CULTURE0_CAPTURE-10,618.7367389905575
CONGOBASIN,SCEN_DIET0_CULTURE0_CAPTURE0,687.2168128661268
EASTERNAF,SCEN_DIET+10_CULTURE+50_CAPTURE+10,1737.544258981141
EASTERNAF,SCEN_DIET-10_CULTURE0_CAPTURE-10,1411.833987613117
EASTERNAF,SCEN_DIET0_CULTURE0_CAPTURE0,1563.543090047129
EU_BALTIC,SCEN_DIET+10_CULTURE+50_CAPTURE+10,341.8969334
EU_BALTIC,SCEN_DIET-10_CULTURE0_CAPTURE-10,280.55000092334046
EU_BALTIC,SCEN_DIET0_CULTURE0_CAPTURE0,311.56133296475656
EU_CENTRALEAST,SCEN_DIET+10_CULTURE+50_CAPTURE+10,536.9978870887313
EU_CENTRALEAST,SCEN_DIET-10_CULTURE0_CAPTURE-10,456.08410129455484
EU_CENTRALEAST,SCEN_DIET0_CULTURE0_CAPTURE0,501.8694123752738
EU_MIDWEST,SCEN_DIET+10_CULTURE+50_CAPTURE+10,1543.664045916424
EU_MIDWEST,SCEN_DIET-10_CULTURE0_CAPTURE-10,1246.9064518164698
EU_MIDWEST,SCEN_DIET0_CULTURE0_CAPTURE0,1363.1535349368298
EU_NORTH,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2501.42131380039
EU_NORTH,SCEN_DIET-10_CULTURE0_CAPTURE-10,2051.302884991501
EU_NORTH,SCEN_DIET0_CULTURE0_CAPTURE0,2273.99152787476
EU_SOUTH,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2252.6358027147908
EU_SOUTH,SCEN_DIET-10_CULTURE0_CAPTURE-10,1886.6236503170994
EU_SOUTH,SCEN_DIET0_CULTURE0_CAPTURE0,2035.834957242146
FORMER_USSR,SCEN_DIET+10_CULTURE+50_CAPTURE+10,597.4271274550282
FORMER_USSR,SCEN_DIET-10_CULTURE0_CAPTURE-10,509.18694313515556
FORMER_USSR,SCEN_DIET0_CULTURE0_CAPTURE0,561.6843137119744
INDIAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,18024.149132940318
INDIAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,15992.033446285532
INDIAREG,SCEN_DIET0_CULTURE0_CAPTURE0,17480.320513508013
INDONESIAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,16388.629604554408
INDONESIAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,14118.305525426538
INDONESIAREG,SCEN_DIET0_CULTURE0_CAPTURE0,15501.80088304399
JAPANREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,4253.897473596323
JAPANREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,3494.2426326108493
JAPANREG,SCEN_DIET0_CULTURE0_CAPTURE0,3857.7266624910685
MALAYSIAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,1918.8691556809872
MALAYSIAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,1598.2061492246557
MALAYSIAREG,SCEN_DIET0_CULTURE0_CAPTURE0,1762.5526635824235
MEXICOREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2091.463299737418
MEXICOREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,1735.079808559869
MEXICOREG,SCEN_DIET0_CULTURE0_CAPTURE0,1922.4350340315025
MIDDLEEAST,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2980.910734934673
MIDDLEEAST,SCEN_DIET-10_CULTURE0_CAPTURE-10,2421.0319169037275
MIDDLEEAST,SCEN_DIET0_CULTURE0_CAPTURE0,2677.2942016833613
NEWZEALANDREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,607.1096001869678
NEWZEALANDREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,489.60215163617875
NEWZEALANDREG,SCEN_DIET0_CULTURE0_CAPTURE0,543.9979546675702
NORTHERNAF,SCEN_DIET+10_CULTURE+50_CAPTURE+10,5193.17076420023
NORTHERNAF,SCEN_DIET-10_CULTURE0_CAPTURE-10,4204.3487705178495
NORTHERNAF,SCEN_DIET0_CULTURE0_CAPTURE0,4592.285977260498
PACIFIC_ISLANDS,SCEN_DIET+10_CULTURE+50_CAPTURE+10,589.1299113543643
PACIFIC_ISLANDS,SCEN_DIET-10_CULTURE0_CAPTURE-10,481.861725282476
PACIFIC_ISLANDS,SCEN_DIET0_CULTURE0_CAPTURE0,535.308618069159
RCAM,SCEN_DIET+10_CULTURE+50_CAPTURE+10,1084.6331361237064
RCAM,SCEN_DIET-10_CULTURE0_CAPTURE-10,878.9308316649672
RCAM,SCEN_DIET0_CULTURE0_CAPTURE0,971.360464006955
RCEU,SCEN_DIET+10_CULTURE+50_CAPTURE+10,38.66071867945275
RCEU,SCEN_DIET-10_CULTURE0_CAPTURE-10,33.04062639226514
RCEU,SCEN_DIET0_CULTURE0_CAPTURE0,36.065616163784384
ROWE,SCEN_DIET+10_CULTURE+50_CAPTURE+10,6410.409454581045
ROWE,SCEN_DIET-10_CULTURE0_CAPTURE-10,5245.063434702727
ROWE,SCEN_DIET0_CULTURE0_CAPTURE0,5827.047514717113
RSAM,SCEN_DIET+10_CULTURE+50_CAPTURE+10,12722.577314562017
RSAM,SCEN_DIET-10_CULTURE0_CAPTURE-10,10347.05142860806
RSAM,SCEN_DIET0_CULTURE0_CAPTURE0,11431.253867915932
RSAS,SCEN_DIET+10_CULTURE+50_CAPTURE+10,7334.889441840203
RSAS,SCEN_DIET-10_CULTURE0_CAPTURE-10,6421.5556566067835
RSAS,SCEN_DIET0_CULTURE0_CAPTURE0,7033.795041214067
RSEA_OPA,SCEN_DIET+10_CULTURE+50_CAPTURE+10,10185.477989036433
RSEA_OPA,SCEN_DIET-10_CULTURE0_CAPTURE-10,8646.544601314326
RSEA_OPA,SCEN_DIET0_CULTURE0_CAPTURE0,9520.274400856215
RSEA_PAC,SCEN_DIET+10_CULTURE+50_CAPTURE+10,13196.663824217474
RSEA_PAC,SCEN_DIET-10_CULTURE0_CAPTURE-10,10507.654814630645
RSEA_PAC,SCEN_DIET0_CULTURE0_CAPTURE0,11504.536853748468
RUSSIAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,5946.208145098618
RUSSIAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,4888.417477235245
RUSSIAREG,SCEN_DIET0_CULTURE0_CAPTURE0,5427.001051463927
SOUTHAFRREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,506.4654292611987
SOUTHAFRREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,414.10530244719195
SOUTHAFRREG,SCEN_DIET0_CULTURE0_CAPTURE0,459.61061963603015
SOUTHERNAF,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2040.638878545045
SOUTHERNAF,SCEN_DIET-10_CULTURE0_CAPTURE-10,1665.7189312645482
SOUTHERNAF,SCEN_DIET0_CULTURE0_CAPTURE0,1848.1728258270653
SOUTHKOREA,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2254.506089213603
SOUTHKOREA,SCEN_DIET-10_CULTURE0_CAPTURE-10,1825.2978034020337
SOUTHKOREA,SCEN_DIET0_CULTURE0_CAPTURE0,2024.6359335902262
UKRAINEREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,118.07697440000001
UKRAINEREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,99.68467520541198
UKRAINEREG,SCEN_DIET0_CULTURE0_CAPTURE0,110.1364484652815
USAREG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,5943.400882820846
USAREG,SCEN_DIET-10_CULTURE0_CAPTURE-10,4872.43612399752
USAREG,SCEN_DIET0_CULTURE0_CAPTURE0,5392.751609429885
WESTERNAF,SCEN_DIET+10_CULTURE+50_CAPTURE+10,4640.309507361654
WESTERNAF,SCEN_DIET-10_CULTURE0_CAPTURE-10,3772.86873355518
WESTERNAF,SCEN_DIET0_CULTURE0_CAPTURE0,4179.513275737547
