VAR_ID,VAR_UNIT,REGION,ITEM,ALLSCEN3,YEAR,OUTPUT
LAND,1000 ha,ARGENTINAREG,FOREST,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2050,41646.950018745745
LAND,1000 ha,ARGENTINAREG,Managed Land,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2050,27558.9621122783
LAND,1000 ha,ARGENTINAREG,OTHNATVEG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2050,93310.58677657881
LAND,1000 ha,ARGENTINAREG,FOREST,SCEN_DIET-10_CULTURE0_CAPTURE-10,2050,39472.55410046532
LAND,1000 ha,ARGENTINAREG,Managed Land,SCEN_DIET-10_CULTURE0_CAPTURE-10,2050,29811.020716137682
LAND,1000 ha,ARGENTINAREG,OTHNATVEG,SCEN_DIET-10_CULTURE0_CAPTURE-10,2050,91266.79561243128
LAND,1000 ha,ARGENTINAREG,FOREST,SCEN_DIET0_CULTURE0_CAPTURE0,2050,40759.761214107326
LAND,1000 ha,ARGENTINAREG,Managed Land,SCEN_DIET0_CULTURE0_CAPTURE0,2050,28607.06038564616
LAND,1000 ha,ARGENTINAREG,OTHNATVEG,SCEN_DIET0_CULTURE0_CAPTURE0,2050,92182.68117563699
LAND,1000 ha,AUSTRALIAREG,FOREST,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2050,99359.83999999995
LAND,1000 ha,AUSTRALIAREG,Managed Land,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2050,18641.33836060446
LAND,1000 ha,AUSTRALIAREG,OTHNATVEG,SCEN_DIET+10_CULTURE+50_CAPTURE+10,2050,336882.1326086915
LAND,1000 ha,AUSTRALIAREG,FOREST,SCEN_DIET-10_CULTURE0_CAPTURE-10,2050,99359.83999999995
LAND,1000 ha,AUSTRALIAREG,Managed Land,SCEN_DIET-10_CULTURE0_CAPTURE-10,2050,19411.011381870263
LAND,1000 ha,AUSTRALIAREG,OTHNATVEG,SCEN_DIET-10_CULTURE0_CAPTURE-10,2050,333520.0598799122
LAND,1000 ha,AUSTRALIAREG,FOREST,SCEN_DIET0_CULTURE0_CAPTURE0,2050,99359.83999999997
