REGION,YEAR,PUBSCEN,value
ARGENTINAREG,2000,BAU,951.77009545
ARGENTINAREG,2000,Barriers to Blue Growth,951.77009545
ARGENTINAREG,2000,Blue Transformation,951.77009545
ARGENTINAREG,2010,BAU,833.5980389
ARGENTINAREG,2010,Barriers to Blue Growth,833.5980389
ARGENTINAREG,2010,Blue Transformation,833.5980389
ARGENTINAREG,2020,BAU,852.58695075
ARGENTINAREG,2020,Barriers to Blue Growth,852.58695075
ARGENTINAREG,2020,Blue Transformation,852.58695075
ARGENTINAREG,2030,BAU,853.1979394017607
ARGENTINAREG,2030,Barriers to Blue Growth,824.7732490665574
ARGENTINAREG,2030,Blue Transformation,881.3540786333334
ARGENTINAREG,2040,BAU,853.5080711789465
ARGENTINAREG,2040,Barriers to Blue Growth,796.6372333895379
ARGENTINAREG,2040,Blue Transformation,910.1205326670637
ARGENTINAREG,2050,BAU,853.7751147013721
ARGENTINAREG,2050,Barriers to Blue Growth,768.4395876976063
ARGENTINAREG,2050,Blue Transformation,938.8858593985893
AUSTRALIAREG,2000,BAU,226.9329052
AUSTRALIAREG,2000,Barriers to Blue Growth,226.9329052
AUSTRALIAREG,2000,Blue Transformation,226.9329052
AUSTRALIAREG,2010,BAU,254.38917545
AUSTRALIAREG,2010,Barriers to Blue Growth,254.38917545
AUSTRALIAREG,2010,Blue Transformation,254.38917545
AUSTRALIAREG,2020,BAU,260.5874803
AUSTRALIAREG,2020,Barriers to Blue Growth,260.5874803
AUSTRALIAREG,2020,Blue Transformation,260.5874803
AUSTRALIAREG,2030,BAU,285.24024091313805
AUSTRALIAREG,2030,Barriers to Blue Growth,275.01284064706925
AUSTRALIAREG,2030,Blue Transformation,283.9588942150132
AUSTRALIAREG,2040,BAU,294.3343798165454
AUSTRALIAREG,2040,Barriers to Blue Growth,275.4572506957619
AUSTRALIAREG,2040,Blue Transformation,304.09710862532035
AUSTRALIAREG,2050,BAU,302.3791143155986
AUSTRALIAREG,2050,Barriers to Blue Growth,274.13324008941686
AUSTRALIAREG,2050,Blue Transformation,323.4464189440108
BRAZILREG,2000,BAU,852.1276546
BRAZILREG,2000,Barriers to Blue Growth,852.1276546
BRAZILREG,2000,Blue Transformation,852.1276546
BRAZILREG,2010,BAU,1210.27073265
BRAZILREG,2010,Barriers to Blue Growth,1210.27073265
BRAZILREG,2010,Blue Transformation,1210.27073265
BRAZILREG,2020,BAU,1325.40428715
BRAZILREG,2020,Barriers to Blue Growth,1325.40428715
BRAZILREG,2020,Blue Transformation,1325.40428715
BRAZILREG,2030,BAU,1469.3154101131838
BRAZILREG,2030,Barriers to Blue Growth,1426.7333277610762
BRAZILREG,2030,Blue Transformation,1448.9596150758314
BRAZILREG,2040,BAU,1549.629623619834
BRAZILREG,2040,Barriers to Blue Growth,1458.8083402007958
